num,subset,SMILES,lambda,t12,logt12,solvent,E (J),E (eV),mol
185,1,FC(F)(F)c1ccccc1N=Nc2ccc(cc2)N(C)C,429,,,ethanol,4.63356643356643E-19,2.89204469422217,FC(F)(F)c1ccccc1N=Nc1ccc(cc1)N(C)C
40,2,C1(C(=C(C(=C(N1CC)O)N=Nc2nncs2)C)C#N)=O,432,,,ethanol,4.60138888888889E-19,2.87196105051229,C1(N=Nc2nncs2)C(C)=C(C(=O)N(CC)C1=O)C#N
275,4,c1(c(c(C)[nH]n1)N=Nc2cccc(Br)c2)C,335,720,2.85733249643127,acetonitrile,5.93373134328358E-19,3.70354380245167,c1(c(c(C)[nH]n1)N=Nc1cccc(Br)c1)C
554,5,c1cc(ccc1N=Nc2c3c(c(cc2)O)nccc3)Oc4ccccc4,395,,,,5.03240506329114E-19,3.14098018688939,c1cc(ccc1N=Nc1c2c(c(cc1)O)nccc2)Oc1ccccc1
782,4,c1ccccc1N=Nc2n(C)ncc2,341,950400,5.97790642763712,acetonitrile,5.82932551319648E-19,3.63837880886015,c1ccccc1N=Nc1n(C)ncc1
25,1,C(CO)N(CCO)c1ccc(N=Nc2ccc(cc2)Br)c(c1)C,425,,,ethanol,4.67717647058824E-19,2.91926393840308,C(CO)N(CCO)c1ccc(N=Nc2ccc(cc2)Br)c(c1)C
657,1,c1cc(ccc1O)N=Nc2c(OC)cccc2,351,,,ethanol,5.66324786324786E-19,3.53472129293821,c1cc(ccc1O)N=Nc1c(OC)cccc1
265,3,c1(c(N=Nc2cccc(Br)c2)c(C)on1)C,315,,,acetonitrile,6.31047619047619E-19,3.93868944070257,c1(c(N=Nc2cccc(Br)c2)c(C)on1)C
192,5,Fc1cc(cc(F)c1N=Nc2ccc(cc2)C(OCC)=O)C(=O)OCC,320,28793.8971895827,4.45930044964312,acetonitrile,6.211875E-19,3.8771474181916,Fc1cc(cc(F)c1N=Nc1ccc(cc1)C(OCC)=O)C(=O)OCC
359,2,c1cc(ccc1)-c2c(C(OCC)=O)c(N3CC3)sc2N=Nc4c(cc(cc4Br)[N+]([O-])=O)C#N,588,,,ethanol,3.38061224489796E-19,2.11001220037638,c1cc(ccc1)-c1c(C(OCC)=O)c(N2CC2)sc1N=Nc1c(cc(cc1Br)[N+]([O-])=O)C#N
680,2,c1cc(ccc1[N+](=O)[O-])-c2csc(n2)N=NC=3C(=C(C#N)C(=O)N(C=3O)CC)C,469,,,ethanol,4.23837953091684E-19,2.64538843032262,c1cc(ccc1[N+](=O)[O-])-c1nc(N=NC2C(=C(C#N)C(N(CC)C2=O)=O)C)sc1
419,5,c1cc(ccc1C#N)N=Nc2ccccc2,321,,,,6.19252336448598E-19,3.86506907732496,c1cc(ccc1C#N)N=Nc1ccccc1
368,5,c1cc(ccc1)CO[C@@H]2[C@H]([C@H]3[C@H](O[C@H]2Sc4ccccc4)COC(COc5c(N=Nc6ccccc6OCC(=O)O3)cccc5)=O)OCc7ccccc7,310,4405465.5744333,6.64399181189058,acetonitrile,6.41225806451613E-19,4.00221668974616,c1cc(ccc1)CO[C@@H]1[C@H]([C@H]2[C@H](O[C@H]1Sc1ccccc1)COC(COc1c(N=Nc3ccccc3OCC(=O)O2)cccc1)=O)OCc1ccccc1
126,5,Cc1noc(c1N=Nc2cccc3c2cccc3)C,362,,,,5.49116022099448E-19,3.4273126348655,Cc1noc(c1N=Nc1cccc2c1cccc2)C
702,5,c1cc(ccc1[N+]([O-])=O)N=Nc2nc3ccc([N+](=O)[O-])cc3s2,332,,,,5.98734939759036E-19,3.73700955970274,c1cc(ccc1[N+]([O-])=O)N=Nc1nc2ccc([N+](=O)[O-])cc2s1
336,5,c1c(OC)c(c(cc1)OC)N=Nc2c(C)nn(c2C)C,307,9598337.9501385,6.98219603704217,acetonitrile,6.47491856677524E-19,4.04132629909222,c1c(OC)c(c(cc1)OC)N=Nc1c(C)nn(c1C)C
648,5,c1cc(ccc1NCCC#N)N=Nc2cc(C)ccc2,400,,,,4.9695E-19,3.10171793455328,c1cc(ccc1NCCC#N)N=Nc1cc(C)ccc1
102,1,CCN(CC)c1ccc(cc1)N=Nc2cccc(C#N)c2C#N,490,,,ethanol,4.05673469387755E-19,2.53201464045165,CCN(CC)c1ccc(cc1)N=Nc1cccc(C#N)c1C#N
769,1,c1ccccc1N=Nc2ccc(cc2C)O,354,,,ethanol,5.61525423728814E-19,3.50476602774382,c1ccccc1N=Nc1ccc(cc1C)O
445,5,c1cc(ccc1C)N=Nc2ccc(cc2)C,326,,,,6.09754601226994E-19,3.80578887675249,c1cc(ccc1C)N=Nc1ccc(cc1)C
754,5,c1ccccc1N=Nc2c(cccc2)Br,326,,,,6.09754601226994E-19,3.80578887675249,c1ccccc1N=Nc1c(cccc1)Br
604,1,c1cc(ccc1N=Nc2ccc(cc2)N(CCC#N)CC)Cl,409,,,methanol,4.8601466992665E-19,3.03346497266824,c1cc(ccc1N=Nc1ccc(cc1)N(CCC#N)CC)Cl
236,1,c1(C#N)cc(cc(C#N)c1)N=Nc2ccc(cc2)N(CC)CC,562,,,ethanol,3.53701067615658E-19,2.20762842316959,c1(C#N)cc(cc(C#N)c1)N=Nc1ccc(cc1)N(CC)CC
694,3,c1cc(ccc1[N+]([O-])=O)N=Nc2c(noc2C)C,332,,,acetonitrile,5.98734939759036E-19,3.73700955970274,c1cc(ccc1[N+]([O-])=O)N=Nc1c(noc1C)C
470,2,c1cc(ccc1N(C)C)N=Nc2c(F)c(c3Nc4c(cccc4)Oc3c2F)F,472,,,ethanol,4.2114406779661E-19,2.62857452080786,c1cc(ccc1N(C)C)N=Nc1c(F)c(c2Nc3c(cccc3)Oc2c1F)F
605,1,c1cc(ccc1N=Nc2ccc(cc2)N(CCCl)CCCl)Br,405,,,ethanol,4.90814814814815E-19,3.06342512054645,c1cc(ccc1N=Nc1ccc(cc1)N(CCCl)CCCl)Br
332,1,c1c(NCCC#N)ccc(c1C)N=Nc2ccccc2OC,394,,,ethanol,5.04517766497462E-19,3.14895221782059,c1c(NCCC#N)ccc(c1C)N=Nc1ccccc1OC
765,5,c1ccccc1N=Nc2ccc(cc2)Cl,324,,,,6.13518518518519E-19,3.82928140068306,c1ccccc1N=Nc1ccc(cc1)Cl
11,5,C(C)N(CC)c1cc(c(N=Nc2ccc(cc2C#N)[N+]([O-])=O)cc1)OC,555,,,,3.58162162162162E-19,2.23547238526362,C(C)N(CC)c1cc(c(N=Nc2ccc(cc2C#N)[N+]([O-])=O)cc1)OC
784,5,c1ccccc1N=Nc2n[nH]cc2,324,,,,6.13518518518519E-19,3.82928140068306,c1ccccc1N=Nc1n[nH]cc1
494,5,c1cc(ccc1N(CC)CC)N=Nc2cc(c(N3CCOCC3)cc2)OC,422,,,,4.71042654028436E-19,2.94001699957657,c1cc(ccc1N(CC)CC)N=Nc1cc(c(N2CCOCC2)cc1)OC
632,5,c1cc(ccc1N=Nc2ccccc2C#N)NCCC#N,429,,,,4.63356643356643E-19,2.89204469422217,c1cc(ccc1N=Nc1ccccc1C#N)NCCC#N
292,5,c1(cc(cc(F)c1N=Nc2c(cc(cc2F)C(OCC)=O)F)C(OCC)=O)F,314,53988.5291904214,4.73230149614721,acetonitrile,6.33057324840764E-19,3.95123303764749,c1(cc(cc(F)c1N=Nc1c(cc(cc1F)C(OCC)=O)F)C(OCC)=O)F
808,5,n1nc(N=Nc2c(C)[nH]c3ccccc23)sc1SC,445,,,,4.46696629213483E-19,2.78806106476699,n1nc(N=Nc2c(C)[nH]c3ccccc23)sc1SC
567,1,c1cc(ccc1N=Nc2cc(ccc2)C(=O)C)N(C)C,420,,,ethanol,4.73285714285714E-19,2.95401708052693,c1cc(ccc1N=Nc1cc(ccc1)C(=O)C)N(C)C
528,1,c1cc(ccc1N=Nc2c(C)cccc2)O,350,,,ethanol,5.67942857142857E-19,3.54482049663232,c1cc(ccc1N=Nc1c(C)cccc1)O
270,1,c1(c(OC)cc(cc1)N=Nc2ccc(c(OC)c2)OC)OC,381,,,ethanol,5.21732283464567E-19,3.25639678168323,c1(c(OC)cc(cc1)N=Nc1ccc(c(OC)c1)OC)OC
370,4,c1cc(ccc1)N=Nc2c(C)cnn2C,340,43200,4.63548374681491,acetonitrile,5.84647058823529E-19,3.64907992300385,c1cc(ccc1)N=Nc1c(C)cnn1C
103,1,CCN(CC)c1ccc(cc1)N=Nc2ccccc2C#N,462,,,ethanol,4.3025974025974E-19,2.6854700732063,CCN(CC)c1ccc(cc1)N=Nc1ccccc1C#N
7,5,C(C)N(CC)c1cc(OC)c(cc1)N=Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-],545,,,,3.64733944954128E-19,2.27649022719506,C(C)N(CC)c1cc(OC)c(cc1)N=Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
313,5,c12ccccc1c(N=Nc3nc([nH]n3)S)c(C)n2C,401,,,,4.9571072319202E-19,3.0939829771105,c12ccccc1c(N=NC=1NC(NN=1)=S)c(C)n2C
350,5,c1c2c(nc(N=Nc3c4cccnc4c(cc3)O)s2)ccc1Cl,450,,,,4.41733333333333E-19,2.7570826084918,c1c2c(nc(N=Nc3c4cccnc4c(cc3)O)s2)ccc1Cl
154,2,FC(F)(F)c1cc(c(N=Nc2sc(N3CC3)c(C(OCC)=O)c2-c4ccccc4)c([N+]([O-])=O)c1),495,,,ethanol,4.01575757575758E-19,2.50643873499255,FC(F)(F)c1cc([N+]([O-])=O)c(cc1)N=Nc1c(c(C(OCC)=O)c(N2CC2)s1)-c1ccccc1
